Algoritm,Tip Lista,Dimensiune,Timp(s)
Merge Sort,Invers Sortata,15000,0.037242
Quick Sort,Invers Sortata,15000,0.024563
Radix Sort,Invers Sortata,15000,0.026191
Merge Sort,Invers Sortata,50000,0.132788
Quick Sort,Invers Sortata,50000,0.092779
Radix Sort,Invers Sortata,50000,0.089587
Merge Sort,Invers Sortata,100000,0.265063
Quick Sort,Invers Sortata,100000,0.195890
Radix Sort,Invers Sortata,100000,0.216249
Merge Sort,Invers Sortata,1000000,3.247074
Quick Sort,Invers Sortata,1000000,2.578100
Radix Sort,Invers Sortata,1000000,3.021338
Merge Sort,Invers Sortata,10000000,38.098034
Quick Sort,Invers Sortata,10000000,26.841108
Radix Sort,Invers Sortata,10000000,31.667808
Bubble Sort,Aproape sortata,10,0.000003
Insertion Sort,Aproape sortata,10,0.000005
Selection Sort,Aproape sortata,10,0.000004
Merge Sort,Aproape sortata,10,0.000012
Quick Sort,Aproape sortata,10,0.000007
Radix Sort,Aproape sortata,10,0.000006
Bubble Sort,Aproape sortata,50,0.000071
Insertion Sort,Aproape sortata,50,0.000031
Selection Sort,Aproape sortata,50,0.000055
Merge Sort,Aproape sortata,50,0.000073
Quick Sort,Aproape sortata,50,0.000041
Radix Sort,Aproape sortata,50,0.000027
Bubble Sort,Aproape sortata,100,0.000280
Insertion Sort,Aproape sortata,100,0.000058
Selection Sort,Aproape sortata,100,0.000217
Merge Sort,Aproape sortata,100,0.000161
Quick Sort,Aproape sortata,100,0.000097
Radix Sort,Aproape sortata,100,0.000051
Bubble Sort,Aproape sortata,1000,0.034767
Insertion Sort,Aproape sortata,1000,0.005403
Selection Sort,Aproape sortata,1000,0.022819
Merge Sort,Aproape sortata,1000,0.004828
Quick Sort,Aproape sortata,1000,0.001278
Radix Sort,Aproape sortata,1000,0.000826
Bubble Sort,Aproape sortata,5000,0.938591
Insertion Sort,Aproape sortata,5000,0.152646
Selection Sort,Aproape sortata,5000,0.539785
Merge Sort,Aproape sortata,5000,0.015908
Quick Sort,Aproape sortata,5000,0.008901
Radix Sort,Aproape sortata,5000,0.008128
Bubble Sort,Aproape sortata,15000,8.138925
Insertion Sort,Aproape sortata,15000,1.290983
Selection Sort,Aproape sortata,15000,5.013376
Merge Sort,Aproape sortata,15000,0.049152
Quick Sort,Aproape sortata,15000,0.031150
Radix Sort,Aproape sortata,15000,0.026876
Merge Sort,Aproape sortata,50000,0.174503
Quick Sort,Aproape sortata,50000,0.103764
Radix Sort,Aproape sortata,50000,0.090857
Merge Sort,Aproape sortata,100000,0.385543
Quick Sort,Aproape sortata,100000,0.229062
Radix Sort,Aproape sortata,100000,0.178941
Merge Sort,Aproape sortata,1000000,4.721650
Quick Sort,Aproape sortata,1000000,2.692091
Radix Sort,Aproape sortata,1000000,2.530199
Merge Sort,Aproape sortata,10000000,59.584469
Quick Sort,Aproape sortata,10000000,32.800651
Radix Sort,Aproape sortata,10000000,30.804069
Bubble Sort,Plata,10,0.000005
Insertion Sort,Plata,10,0.000005
Selection Sort,Plata,10,0.000008
Merge Sort,Plata,10,0.000012
Quick Sort,Plata,10,0.000009
Radix Sort,Plata,10,0.000007
Bubble Sort,Plata,50,0.000117
Insertion Sort,Plata,50,0.000046
Selection Sort,Plata,50,0.000076
Merge Sort,Plata,50,0.000079
